bonus_id,effect
1,Roads cost half as much
2,Factories provide triple Production
3,Cavalry gains +1 movement
4,Temples provide +3 Science
5,Settlers cost half as much
6,Naval units gain +1 combat
7,Exploration provides twice the Gold
8,Faster city growth
9,Mathematics
10,Literacy
12,Riflemen gain +1 movement
13,Cannons gain +2 attack
14,Cavalry and Knights gain +1 attack
16,Plains tiles provide +1 Food
17,Riflemen cost half as much
18,Courthouses cost half as much
19,Barracks cost half as much
20,Libraries cost half as much
23,Increased Great Person generation
24,Wonders cost half as much
25,Cities produce +50% Gold
26,New defensive units receive Loyalty
27,Samurai Knights gain +1 attack
28,Sea tiles provide +1 Food
30,Forest tiles provide +1 Production
32,Desert tiles provide +1 Food and +1 Trade
34,Spies cost half as much
35,Unit rush costs are halved
36,New cities begin with +1 population
38,Caravans provide +50% Gold
40,Captured Barbarian villages become cities
41,Hill tiles provide +1 Production
42,Cities are unaffected by Anarchy
43,Religion
46,Units heal after winning combat
47,Gold reserves earn 2% interest
48,Communism
50,New Warriors are Veterans
51,Naval support is doubled
55,Warriors gain +1 movement
56,Mountain tiles provide +2 Production
58,Irrigation
59,Pottery
60,Democracy
61,Longbow Archers gain +1 defense
